"age","2","3","4"
1,0.03,0.78,0.22
2,0.09,0.72,0.22
3,0.19,0.58,0.27
4,0.3,0.45,0.3
5,0.36,0.4,0.29
6,0.41,0.33,0.32
7,0.44,0.32,0.29
8,0.54,0.28,0.23
9,0.53,0.33,0.19
10,0.52,0.29,0.23
